id,reviews,rating
19783922,15,93.0
19784085,19,95.0
19784119,32,98.0
19786549,12,98.0
19786915,72,87.0
19787245,12,97.0
19788577,21,92.0
19790344,31,96.0
19798405,77,97.0
19799489,46,93.0
19801076,60,96.0
19801466,46,99.0
19801605,43,92.0
19802994,130,96.0
19803042,73,99.0
19803208,25,98.0
19803462,36,93.0
19803515,67,91.0
19806088,16,97.0
19809264,15,93.0
19811114,10,94.0
19814107,28,96.0
19815527,17,98.0
19818960,39,91.0
19819750,35,94.0
19823445,92,96.0
19825152,135,96.0
19827778,52,96.0
19829879,17,96.0
19829900,42,94.0
19830008,106,97.0
19830557,130,97.0
19830726,17,94.0
19837851,41,85.0
19838251,32,99.0
19838917,26,98.0
19841625,36,90.0
19841837,142,95.0
19842557,137,97.0
19843040,140,96.0
19843343,12,96.0
19844263,112,99.0
19845056,15,97.0
19845074,17,96.0
19845373,57,98.0
19847065,11,96.0
19847087,19,99.0
19848191,47,90.0
19848373,12,98.0
19848536,73,95.0
19858046,22,97.0
19859156,119,94.0
19859179,25,85.0
19861088,20,99.0
19862234,62,95.0
19862892,10,93.0
19862980,14,98.0
19865000,57,84.0
19867930,18,100.0
19873282,59,93.0
19873887,14,94.0
19874726,13,80.0
19876096,10,98.0
19876256,56,91.0
19876641,23,88.0
19878366,84,97.0
19884639,55,99.0
19886609,29,92.0
19887405,21,95.0
19888160,15,100.0
19888622,69,95.0
19891174,143,90.0
19891485,20,94.0
19891590,10,98.0
19891602,10,100.0
19892264,16,98.0
19893872,31,94.0
19894567,37,97.0
19906528,98,81.0
19906578,10,98.0
19907865,23,91.0
19908088,46,100.0
19910074,11,98.0
19911921,28,91.0
19912065,20,99.0
19913070,41,97.0
19913191,12,91.0
19914209,10,94.0
19915204,125,96.0
19915657,94,96.0
19915939,112,96.0
19923377,18,97.0
19925397,61,97.0
19929279,90,97.0
19929723,26,95.0
19930489,24,95.0
19930835,32,93.0
19932387,30,97.0
19932802,20,98.0
19942242,11,100.0
19943029,168,100.0
19944880,47,96.0
19946195,62,95.0
19949138,19,98.0
19952747,108,97.0
19960443,25,99.0
19960507,20,89.0
19963733,13,100.0
19964109,98,88.0
19964262,150,87.0
19967115,14,99.0
19968388,15,100.0
19969461,23,100.0
19970186,54,89.0
19970216,92,98.0
19974905,22,94.0
19979892,46,94.0
19981294,14,86.0
19981649,20,94.0
19981889,85,97.0
19982386,55,93.0
19985425,100,90.0
19986637,112,94.0
19991488,15,83.0
19993084,83,91.0
19993470,24,93.0
19998416,13,100.0
19998918,13,91.0
19999527,120,97.0
20000184,39,85.0
20000290,27,96.0
20001006,55,94.0
20012263,14,91.0
20013255,114,92.0
20015736,21,100.0
20016090,105,97.0
20016493,59,99.0
20017121,89,94.0
20017161,13,90.0
20017584,72,93.0
20017753,48,93.0
20022549,40,96.0
20026248,45,98.0
20026598,41,98.0
20026998,62,93.0
20030871,35,96.0
20031027,29,99.0
20031768,19,93.0
20033434,10,100.0
20033770,10,96.0
20034244,37,96.0
20040078,61,95.0
20044802,14,100.0
20045444,11,96.0
20046845,36,97.0
20047896,133,99.0
20049857,88,95.0
20050489,22,99.0
20053253,96,99.0
20053839,33,93.0
20057450,65,83.0
20057851,27,97.0
20058138,123,97.0
20070296,33,98.0
20071095,27,96.0
20073959,50,93.0
20082404,51,100.0
20085472,12,95.0
20086190,26,99.0
20087455,10,100.0
20089288,49,98.0
20089597,150,94.0
20092176,44,98.0
20111316,27,98.0
20111383,40,98.0
20119649,33,88.0
20120690,11,100.0
20120848,12,95.0
20120907,15,100.0
20121308,189,97.0
20124372,103,98.0
20133468,86,97.0
20134321,11,96.0
20134453,66,97.0
20134851,12,100.0
20135169,33,89.0
20135558,123,93.0
20136121,10,82.0
20138516,126,98.0
20139305,34,94.0
20139611,16,95.0
20141920,143,98.0
20147537,12,78.0
20149318,33,93.0
20149903,16,88.0
20151455,135,96.0
20153394,77,90.0
20153406,41,92.0
20155633,104,97.0
20155838,136,98.0
20156382,15,93.0
20162291,24,100.0
20165918,29,99.0
20166475,36,97.0
20166644,13,100.0
20171179,64,99.0
20171270,72,97.0
20171578,92,100.0
20173308,114,97.0
20175117,169,95.0
20176000,33,95.0
20176653,31,98.0
20177584,118,98.0
20183458,48,84.0
20183579,21,94.0
20184035,54,91.0
20186887,11,92.0
20187293,61,91.0
20187779,71,90.0
20189290,14,93.0
20190053,11,100.0
20191216,37,98.0
20193058,10,92.0
20194342,139,96.0
20194791,91,98.0
20194954,84,98.0
20196339,420,96.0
20203433,139,98.0
20204527,127,97.0
20204751,17,96.0
20209878,77,98.0
20210285,26,90.0
20211737,97,95.0
20212707,39,93.0
20213045,11,100.0
20213973,117,97.0
20215712,26,99.0
20216170,93,100.0
20223927,62,98.0
20227210,10,98.0
20228284,84,99.0
20230332,14,84.0
20230482,79,89.0
20231046,109,92.0
20231900,73,96.0
20232745,21,100.0
20233308,18,96.0
20234416,28,99.0
20234674,36,99.0
20235361,34,75.0
20242938,63,91.0
20245130,29,100.0
20249492,61,96.0
20250864,23,80.0
20253237,21,100.0
20256027,16,95.0
20257840,105,94.0
20263109,15,100.0
20265425,161,97.0
20267865,81,95.0
20271739,179,99.0
20278421,30,94.0
20279823,89,97.0
20282044,62,79.0
20282957,147,85.0
20283433,28,97.0
20285167,120,91.0
20286700,63,85.0
20286743,84,83.0
20286744,109,97.0
20303629,76,98.0
20304291,59,95.0
20304654,236,95.0
20308615,14,98.0
20309089,141,98.0
20323803,22,96.0
20325356,62,99.0
20326252,146,94.0
20330435,17,100.0
20330822,42,94.0
20331226,72,98.0
20331995,139,95.0
20332842,153,98.0
20333200,26,98.0
20333471,78,96.0
20333831,33,97.0
20337158,33,98.0
20353880,67,100.0
20356506,174,97.0
20356917,103,91.0
20358562,41,96.0
20363178,67,90.0
20364111,130,96.0
20365504,136,97.0
20369044,17,100.0
20376152,16,96.0
20379446,11,94.0
20385260,12,91.0
20385467,111,95.0
20387644,56,96.0
20387815,31,91.0
20388056,16,99.0
20390763,111,93.0
20392393,137,93.0
20395432,21,99.0
20395608,81,97.0
20401541,22,95.0
20403568,62,97.0
20406782,31,91.0
20407916,59,90.0
20409825,14,88.0
20412160,26,99.0
20412719,13,100.0
20412884,137,95.0
20413811,20,90.0
20417878,113,97.0
20418684,23,99.0
20420499,189,92.0
20421016,13,100.0
20425060,22,100.0
20425764,143,96.0
20426726,62,92.0
20427684,22,93.0
20433620,134,92.0
20435343,10,88.0
20435636,19,100.0
20437233,53,95.0
20440432,33,97.0
20440757,11,95.0
20453104,19,100.0
20454481,46,97.0
20458769,12,97.0
20459277,39,94.0
20459818,98,97.0
20466016,10,94.0
20474033,31,100.0
20476397,36,95.0
20476779,35,94.0
20479960,118,95.0
20480431,85,92.0
20480983,165,95.0
20482151,134,96.0
20482231,11,98.0
20482262,10,98.0
20483469,17,98.0
20483744,153,98.0
20493318,33,97.0
20494672,53,96.0
20497487,98,84.0
20498653,67,98.0
20501156,82,98.0
20501444,24,88.0
20503833,73,94.0
20505271,22,87.0
20506481,109,96.0
20511790,17,93.0
20515035,10,97.0
20518193,25,96.0
20521505,84,94.0
20523741,138,90.0
20523843,18,94.0
20535581,12,97.0
20539354,13,95.0
20541715,26,96.0
20552326,23,88.0
20552544,18,98.0
20553159,31,87.0
20555087,13,98.0
20557017,19,88.0
20558461,13,80.0
20561751,66,89.0
20565375,20,92.0
20566445,174,89.0
20569589,17,99.0
20572472,92,97.0
20573255,94,95.0
20573503,17,95.0
20574057,10,100.0
20577974,23,100.0
20580419,14,96.0
20580871,26,99.0
20581823,167,95.0
