id,hood,zipcode,guests,sqft,price
103311,Brooklyn,11222,6,,599
105469,Queens,11693,1,,70
105510,Brooklyn,11216,4,450.0,68
105790,Manhattan,10031,2,,59
106363,Manhattan,10031,1,,60
106647,Brooklyn,11238,4,,125
107630,Brooklyn,11222,3,,175
107895,Manhattan,10023,2,,120
110739,Manhattan,10001,2,,120
112100,Brooklyn,11238,6,900.0,165
112304,Manhattan,10026,2,,90
112359,Manhattan,10128,5,,225
112435,Brooklyn,11205,2,,95
113092,Brooklyn,nan,1,,90
113265,Brooklyn,11216,2,,55
113945,Manhattan,10036,1,,95
114229,Manhattan,10002,7,800.0,211
115535,Manhattan,10031,1,,65
115678,Manhattan,10027,16,750.0,99
115748,Queens,11102,2,,110
116551,Manhattan,10027,4,,91
116940,Brooklyn,11216,2,,80
117425,Brooklyn,11201,2,,100
118061,Brooklyn,11233,2,,102
118680,Manhattan,10003,2,,87
121687,Brooklyn,11211,6,1100.0,200
121861,Brooklyn,11215,4,1500.0,165
123784,Manhattan,10027,3,,110
125053,Manhattan,10012,3,,395
125163,Brooklyn,11233,2,,60
125594,Brooklyn,11218,2,,39
126443,Manhattan,10003,9,1100.0,189
126816,Manhattan,10025,1,,85
127387,Brooklyn,11215,4,1150.0,260
128975,Manhattan,10027,5,700.0,140
131154,Brooklyn,11222,2,,165
132516,Queens,11375,3,,97
132661,Manhattan,10018,1,,76
132695,Brooklyn,11211,2,,125
133025,Manhattan,10016,1,,130
134934,Brooklyn,11211,2,,225
135393,Brooklyn,11226,2,,50
135465,Brooklyn,11217,3,,170
135706,Manhattan,10011,1,,132
136493,Brooklyn,11217,5,,250
137121,Brooklyn,11211,3,,100
137671,Manhattan,10016,4,450.0,180
138216,Brooklyn,11222,3,,141
139624,Brooklyn,11216,2,,64
140133,Brooklyn,11211,4,,249
140425,Brooklyn,11238,4,,79
140973,Manhattan,10009,4,,225
141154,Brooklyn,11217,4,,100
141335,Brooklyn,11217,5,,900
141890,Manhattan,10012,4,,375
142069,Manhattan,10009,2,,150
144087,Manhattan,10026,5,,259
