category,date,downloads
null,2019-11-07,65294
null,2019-11-08,65783
null,2019-11-09,33698
null,2019-11-10,33409
null,2019-11-11,62851
null,2019-11-12,67525
null,2019-11-13,67783
null,2019-11-14,68545
null,2019-11-15,64952
null,2019-11-16,32346
null,2019-11-17,32523
null,2019-11-18,66945
null,2019-11-19,68314
null,2019-11-20,70300
null,2019-11-21,72741
null,2019-11-22,63819
null,2019-11-23,36330
null,2019-11-24,32543
null,2019-11-25,62975
null,2019-11-26,65887
null,2019-11-27,59390
null,2019-11-28,50410
null,2019-11-29,46251
null,2019-11-30,30392
null,2019-12-01,33044
null,2019-12-02,58231
null,2019-12-03,62598
null,2019-12-04,58833
null,2019-12-05,57664
null,2019-12-06,59356
null,2019-12-07,30292
null,2019-12-08,32034
null,2019-12-09,58596
null,2019-12-10,70638
null,2019-12-11,70200
null,2019-12-12,68222
null,2019-12-13,65503
null,2019-12-14,35193
null,2019-12-15,34656
null,2019-12-16,65128
null,2019-12-17,65632
null,2019-12-18,65168
null,2019-12-19,68236
null,2019-12-20,61391
null,2019-12-21,35930
null,2019-12-22,32656
null,2019-12-23,42567
null,2019-12-24,38345
null,2019-12-25,27943
null,2019-12-26,35930
null,2019-12-27,38809
null,2019-12-28,25330
null,2019-12-29,24065
null,2019-12-30,36580
null,2019-12-31,36382
null,2020-01-01,28217
null,2020-01-02,44652
null,2020-01-03,44872
null,2020-01-04,27464
null,2020-01-05,26389
null,2020-01-06,45780
null,2020-01-07,55840
null,2020-01-08,56846
null,2020-01-09,61172
null,2020-01-10,53682
null,2020-01-11,29628
null,2020-01-12,29798
null,2020-01-13,57214
null,2020-01-14,64309
null,2020-01-15,84514
null,2020-01-16,74991
null,2020-01-17,57368
null,2020-01-18,30697
null,2020-01-19,32681
null,2020-01-20,54648
null,2020-01-21,62811
null,2020-01-22,63929
null,2020-01-23,65579
null,2020-01-24,63996
null,2020-01-25,30785
null,2020-01-26,30369
null,2020-01-27,52335
null,2020-01-28,58507
null,2020-01-29,66159
null,2020-01-30,71086
null,2020-01-31,66318
null,2020-02-01,35346
null,2020-02-02,33062
null,2020-02-03,62902
null,2020-02-04,68304
null,2020-02-05,67399
null,2020-02-06,71180
null,2020-02-07,64351
null,2020-02-08,32027
null,2020-02-09,33311
null,2020-02-10,62678
null,2020-02-11,71488
null,2020-02-12,71542
null,2020-02-13,69069
null,2020-02-14,64258
null,2020-02-15,32700
null,2020-02-16,28630
null,2020-02-17,55698
null,2020-02-18,54113
null,2020-02-19,58711
null,2020-02-20,61722
null,2020-02-21,58591
null,2020-02-22,37026
null,2020-02-23,35313
null,2020-02-24,69631
null,2020-02-25,72860
null,2020-02-26,70061
null,2020-02-27,72210
null,2020-02-28,65485
null,2020-02-29,42207
null,2020-03-01,40567
null,2020-03-02,62792
null,2020-03-03,66974
null,2020-03-04,66450
null,2020-03-05,68232
null,2020-03-06,65182
null,2020-03-07,44300
null,2020-03-08,44008
null,2020-03-09,71353
null,2020-03-10,66759
null,2020-03-11,67236
null,2020-03-12,68407
null,2020-03-13,63123
null,2020-03-14,41530
other,2019-09-16,359
other,2019-09-17,456
other,2019-09-18,503
other,2019-09-19,398
other,2019-09-20,371
other,2019-09-21,110
other,2019-09-22,158
other,2019-09-23,289
other,2019-09-24,354
other,2019-09-25,363
other,2019-09-26,455
other,2019-09-27,291
other,2019-09-28,132
other,2019-09-29,154
other,2019-09-30,465
other,2019-10-01,416
other,2019-10-02,503
other,2019-10-03,333
other,2019-10-04,389
other,2019-10-05,164
other,2019-10-06,148
other,2019-10-07,458
other,2019-10-08,446
other,2019-10-09,386
other,2019-10-10,418
other,2019-10-11,305
other,2019-10-12,153
other,2019-10-13,131
other,2019-10-14,302
other,2019-10-15,361
other,2019-10-16,350
other,2019-10-17,445
other,2019-10-18,265
other,2019-10-19,116
other,2019-10-20,146
other,2019-10-21,286
other,2019-10-22,330
other,2019-10-23,312
other,2019-10-24,304
other,2019-10-25,254
other,2019-10-26,158
other,2019-10-27,213
other,2019-10-28,283
other,2019-10-29,352
other,2019-10-30,360
other,2019-10-31,387
other,2019-11-01,462
other,2019-11-02,191
other,2019-11-03,183
other,2019-11-04,398
other,2019-11-05,406
other,2019-11-06,393
other,2019-11-07,292
other,2019-11-08,326
other,2019-11-09,202
other,2019-11-10,217
other,2019-11-11,376
other,2019-11-12,582
other,2019-11-13,386
other,2019-11-14,356
other,2019-11-15,339
other,2019-11-16,237
other,2019-11-17,253
other,2019-11-18,412
other,2019-11-19,485
other,2019-11-20,340
other,2019-11-21,322
other,2019-11-22,305
other,2019-11-23,137
other,2019-11-24,161
other,2019-11-25,297
other,2019-11-26,346
other,2019-11-27,267
other,2019-11-28,274
other,2019-11-29,219
other,2019-11-30,126
other,2019-12-01,170
other,2019-12-02,342
other,2019-12-03,381
other,2019-12-04,459
other,2019-12-05,339
other,2019-12-06,311
other,2019-12-07,149
other,2019-12-08,196
other,2019-12-09,397
other,2019-12-10,299
other,2019-12-11,281
other,2019-12-12,263
other,2019-12-13,312
other,2019-12-14,165
other,2019-12-15,219
other,2019-12-16,317
other,2019-12-17,221
other,2019-12-18,233
other,2019-12-19,341
other,2019-12-20,331
other,2019-12-21,161
other,2019-12-22,145
other,2019-12-23,225
other,2019-12-24,171
other,2019-12-25,105
other,2019-12-26,161
other,2019-12-27,203
other,2019-12-28,155
other,2019-12-29,159
other,2019-12-30,224
other,2019-12-31,183
other,2020-01-01,136
other,2020-01-02,273
other,2020-01-03,325
other,2020-01-04,193
other,2020-01-05,149
other,2020-01-06,343
other,2020-01-07,355
other,2020-01-08,380
other,2020-01-09,336
other,2020-01-10,359
other,2020-01-11,155
other,2020-01-12,188
other,2020-01-13,356
other,2020-01-14,440
other,2020-01-15,429
other,2020-01-16,329
other,2020-01-17,340
other,2020-01-18,156
other,2020-01-19,176
other,2020-01-20,357
other,2020-01-21,514
other,2020-01-22,423
other,2020-01-23,432
other,2020-01-24,447
other,2020-01-25,185
other,2020-01-26,208
other,2020-01-27,641
other,2020-01-28,409
other,2020-01-29,589
other,2020-01-30,447
other,2020-01-31,809
other,2020-02-01,244
other,2020-02-02,246
other,2020-02-03,451
other,2020-02-04,433
other,2020-02-05,375
other,2020-02-06,375
other,2020-02-07,409
other,2020-02-08,227
other,2020-02-09,310
other,2020-02-10,430
other,2020-02-11,385
other,2020-02-12,415
other,2020-02-13,531
other,2020-02-14,426
other,2020-02-15,304
other,2020-02-16,267
other,2020-02-17,471
other,2020-02-18,453
other,2020-02-19,531
other,2020-02-20,470
other,2020-02-21,385
other,2020-02-22,186
other,2020-02-23,239
other,2020-02-24,459
other,2020-02-25,475
other,2020-02-26,493
other,2020-02-27,376
other,2020-02-28,452
other,2020-02-29,218
other,2020-03-01,326
other,2020-03-02,522
other,2020-03-03,474
other,2020-03-04,530
other,2020-03-05,447
other,2020-03-06,416
other,2020-03-07,276
other,2020-03-08,227
other,2020-03-09,365
other,2020-03-10,358
other,2020-03-11,352
other,2020-03-12,303
other,2020-03-13,351
other,2020-03-14,197
Windows,2019-09-16,62458
Windows,2019-09-17,67484
Windows,2019-09-18,67380
Windows,2019-09-19,73433
Windows,2019-09-20,80704
Windows,2019-09-21,38924
Windows,2019-09-22,34280
Windows,2019-09-23,72159
Windows,2019-09-24,82215
Windows,2019-09-25,82216
Windows,2019-09-26,82615
Windows,2019-09-27,80698
Windows,2019-09-28,37520
Windows,2019-09-29,33840
Windows,2019-09-30,72179
Windows,2019-10-01,81226
Windows,2019-10-02,69369
Windows,2019-10-03,71249
Windows,2019-10-04,71673
Windows,2019-10-05,41580
Windows,2019-10-06,38186
Windows,2019-10-07,73635
Windows,2019-10-08,79048
Windows,2019-10-09,80618
Windows,2019-10-10,77866
Windows,2019-10-11,71242
Windows,2019-10-12,44970
Windows,2019-10-13,39030
Windows,2019-10-14,72283
Windows,2019-10-15,86296
Windows,2019-10-16,80755
Windows,2019-10-17,80699
Windows,2019-10-18,77874
Windows,2019-10-19,44448
Windows,2019-10-20,37110
Windows,2019-10-21,78756
Windows,2019-10-22,83218
Windows,2019-10-23,90386
Windows,2019-10-24,80996
Windows,2019-10-25,75475
Windows,2019-10-26,47529
